seq,timestamp_utc,phase,tool,command,explanation,artefact,hash,outcome
1,2026-08-18T20:02:28Z,Evidence Identification,ffxforensics.acquire,stat /tmp/demo/source/69mytvds.default-esr,Located and validated the suspect Firefox profile directory,/tmp/demo/source/69mytvds.default-esr,,OK
2,2026-08-18T20:02:28Z,Evidence Collection,shutil.copytree (cp -rp equivalent),cp -rp /tmp/demo/source/69mytvds.default-esr /tmp/demo/working_directory/Firefox-Linux-Evidence,Created forensic copy of the profile preserving structure and metadata,/tmp/demo/working_directory/Firefox-Linux-Evidence,,OK
3,2026-08-18T20:02:28Z,Evidence Preservation,ffxforensics.hashing,find Firefox-Linux-Evidence/ -type f -exec sha256sum {} \; > Firefox-Linux-Evidence-all.sha256,Computed SHA-256 for all 50 acquired files,/tmp/demo/working_directory/Firefox-Linux-Evidence-all.sha256,,OK
4,2026-08-18T20:02:28Z,Evidence Preservation,zipfile / ffxforensics.hashing,zip -r Firefox-Linux-Evidence.zip Firefox-Linux-Evidence/* && sha256sum Firefox-Linux-Evidence.zip,Compressed the evidence set for transfer and recorded its hash,/tmp/demo/working_directory/Firefox-Linux-Evidence.zip,6c9cf84c44eb28bdddde5dc905a0c9d3a37fc33b31d4cb5fa75db7b738fb99f5,OK
