seq,timestamp_utc,phase,tool,command,explanation,artefact,hash,outcome
1,2026-08-18T20:02:29Z,Evidence Preservation,ffxforensics.hashing,sha256sum -c Firefox-Linux-Evidence-all.sha256,Verified the evidence set against its acquisition manifest,/tmp/demo/working_directory/Firefox-Linux-Evidence-all.sha256,,PASS
2,2026-08-18T20:02:29Z,Analysing,ffxforensics.CaseAnalyser,ffxforensics analyze /tmp/demo/working_directory/Firefox-Linux-Evidence,Opened evidence directory for read-only artefact analysis,/tmp/demo/working_directory/Firefox-Linux-Evidence,,OK
3,2026-08-18T20:02:29Z,Analysing,ffxforensics.parsers.places,"SELECT id, url, title, visit_count, last_visit_date FROM moz_places ORDER BY last_visit_date DESC","Extracted 52 URLs, 56 visits, 19 searches, 11 bookmark rows",places.sqlite,34d4e62cc60c53fe795427372d7a802d34c9dc2012c0bac925116a00e6db74df,OK
4,2026-08-18T20:02:29Z,Analysing,ffxforensics.parsers.cookies,"SELECT id, host, isHttpOnly, isSecure, sameSite, lastAccessed FROM moz_cookies",Identified 24 cookies across 17 hosts,cookies.sqlite,383f7aa57dec1803082f628a23f9a36878719c46a16f3023009eb6f4f18179a9,OK
5,2026-08-18T20:02:29Z,Analysing,ffxforensics.parsers.formhistory,"SELECT id, fieldname, value, timesUsed, lastUsed FROM moz_formhistory",Recovered 19 typed form values,formhistory.sqlite,4a9572cf0e5f324cd654506ff14fcf6f4ad0489c36d87568d235201384ca411c,OK
6,2026-08-18T20:02:29Z,Analysing,ffxforensics.analysis,IndicatorEngine.assess() + build_timeline(),Built 81-event timeline across 1 session(s); 85 artefacts matched indicators,/tmp/demo/working_directory/Firefox-Linux-Evidence,,OK
