url,title,last_activity,visit_type
https://www.youtube.com/watch?v=0Izu0J6iSoM,"Firewall Penetration Testing: Steps, Methods, and Tools",2025-12-02 15:36:46,Interacted with link
https://www.youtube.com/watch?v=QtwhEz-aON4,AI Security Exposed: Why 95% of Companies Are Vulnerable,2025-12-02 15:35:37,Interacted with link
https://www.youtube.com/watch?v=8zSoyAmHHc4,Threats Vulnerabilities and Exploits,2025-12-02 15:34:50,Interacted with link
https://www.youtube.com/watch?v=GD88Pp75Klw,Using a LAN scan to find INTERNAL vulnerabilities,2025-12-02 15:33:21,Interacted with link
