id,title,url,folder,last_modified
11,Inspect network activity | Chrome DevTools | Chrome for developers,https://developer.chrome.com/docs/devtools/network/,toolbar,2025-12-02 15:31:22
10,Competitive Analysis | Similarweb,https://lp.similarweb.com/competitive-analysis/,toolbar,2025-12-02 15:30:54
9,Web Request Inspector & Probe Service | Request Inspector,https://requestinspector.com/,toolbar,2025-12-02 15:30:20
8,SQL Injection | OWASP Foundation,https://owasp.org/www-community/attacks/SQL_Injection,toolbar,2025-12-02 15:29:45
7,white papers - NeoQuant,https://neoquant.com/white-papers/,toolbar,2025-12-02 15:29:11
